state,district,key,year,season,rain_mm,n_days,rain_normal_mm,rain_anom_mm,rain_anom_pct
GUJARAT,AHMADABAD,ahmadabad,2004-2005,Annual,790.16,366,767.93,22.23,2.89
GUJARAT,AHMADABAD,ahmadabad,2005-2006,Annual,1254.15,365,767.93,486.21,63.31
GUJARAT,AHMADABAD,ahmadabad,2006-2007,Annual,1073.92,365,767.93,305.98,39.85
GUJARAT,AHMADABAD,ahmadabad,2007-2008,Annual,968.05,365,767.93,200.12,26.06
GUJARAT,AHMADABAD,ahmadabad,2008-2009,Annual,806.17,366,767.93,38.23,4.98
GUJARAT,AHMADABAD,ahmadabad,2009-2010,Annual,437.45,365,767.93,-330.49,-43.04
GUJARAT,AHMADABAD,ahmadabad,2010-2011,Annual,1119.24,365,767.93,351.31,45.75
GUJARAT,AHMADABAD,ahmadabad,2011-2012,Annual,996.68,365,767.93,228.75,29.79
GUJARAT,AHMADABAD,ahmadabad,2012-2013,Annual,565.52,366,767.93,-202.42,-26.36
GUJARAT,AHMADABAD,ahmadabad,2013-2014,Annual,1172.56,365,767.93,404.62,52.69
GUJARAT,AHMADABAD,ahmadabad,2014-2015,Annual,790.36,365,767.93,22.43,2.92
GUJARAT,AHMADABAD,ahmadabad,2015-2016,Annual,484.5,365,767.93,-283.44,-36.91
GUJARAT,AHMADABAD,ahmadabad,2016-2017,Annual,496.08,366,767.93,-271.85,-35.4
GUJARAT,AHMADABAD,ahmadabad,2017-2018,Annual,770.61,365,767.93,2.68,0.35
GUJARAT,AHMADABAD,ahmadabad,2018-2019,Annual,452.63,365,767.93,-315.3,-41.06
GUJARAT,AHMADABAD,ahmadabad,2019-2020,Annual,940.46,365,767.93,172.52,22.47
GUJARAT,AHMADABAD,ahmadabad,2020-2021,Annual,834.52,366,767.93,66.59,8.67
GUJARAT,AHMADABAD,ahmadabad,2021-2022,Annual,774.31,365,767.93,6.38,0.83
GUJARAT,AHMADABAD,ahmadabad,2022-2023,Annual,673.39,365,767.93,-94.55,-12.31
GUJARAT,AHMADABAD,ahmadabad,2023-2024,Annual,708.77,365,767.93,-59.16,-7.7
GUJARAT,AHMADABAD,ahmadabad,1997-1998,Kharif,882.79,122,738.6,144.18,19.52
GUJARAT,AHMADABAD,ahmadabad,1998-1999,Kharif,689.8,122,738.6,-48.8,-6.61
GUJARAT,AHMADABAD,ahmadabad,1999-2000,Kharif,479.06,122,738.6,-259.55,-35.14
GUJARAT,AHMADABAD,ahmadabad,2000-2001,Kharif,508.23,122,738.6,-230.38,-31.19
GUJARAT,AHMADABAD,ahmadabad,2001-2002,Kharif,649.95,122,738.6,-88.65,-12.0
GUJARAT,AHMADABAD,ahmadabad,2002-2003,Kharif,412.13,122,738.6,-326.47,-44.2
GUJARAT,AHMADABAD,ahmadabad,2003-2004,Kharif,797.32,122,738.6,58.71,7.95
GUJARAT,AHMADABAD,ahmadabad,2004-2005,Kharif,756.36,122,738.6,17.76,2.4
GUJARAT,AHMADABAD,ahmadabad,2005-2006,Kharif,1250.42,122,738.6,511.82,69.3
GUJARAT,AHMADABAD,ahmadabad,2006-2007,Kharif,1067.97,122,738.6,329.37,44.59
GUJARAT,AHMADABAD,ahmadabad,2007-2008,Kharif,967.76,122,738.6,229.16,31.03
GUJARAT,AHMADABAD,ahmadabad,2008-2009,Kharif,787.65,122,738.6,49.04,6.64
GUJARAT,AHMADABAD,ahmadabad,2009-2010,Kharif,414.27,122,738.6,-324.33,-43.91
GUJARAT,AHMADABAD,ahmadabad,2010-2011,Kharif,1074.32,122,738.6,335.71,45.45
GUJARAT,AHMADABAD,ahmadabad,2011-2012,Kharif,996.68,122,738.6,258.08,34.94
GUJARAT,AHMADABAD,ahmadabad,2012-2013,Kharif,560.4,122,738.6,-178.2,-24.13
GUJARAT,AHMADABAD,ahmadabad,2013-2014,Kharif,1097.89,122,738.6,359.29,48.64
GUJARAT,AHMADABAD,ahmadabad,2014-2015,Kharif,770.9,122,738.6,32.29,4.37
GUJARAT,AHMADABAD,ahmadabad,2015-2016,Kharif,465.68,122,738.6,-272.93,-36.95
GUJARAT,AHMADABAD,ahmadabad,2016-2017,Kharif,427.4,122,738.6,-311.2,-42.13
GUJARAT,AHMADABAD,ahmadabad,2017-2018,Kharif,766.63,122,738.6,28.03,3.79
GUJARAT,AHMADABAD,ahmadabad,2018-2019,Kharif,452.42,122,738.6,-286.18,-38.75
GUJARAT,AHMADABAD,ahmadabad,2019-2020,Kharif,877.51,122,738.6,138.91,18.81
GUJARAT,AHMADABAD,ahmadabad,2020-2021,Kharif,810.91,122,738.6,72.31,9.79
GUJARAT,AHMADABAD,ahmadabad,2021-2022,Kharif,666.03,122,738.6,-72.58,-9.83
GUJARAT,AHMADABAD,ahmadabad,2022-2023,Kharif,654.61,122,738.6,-83.99,-11.37
GUJARAT,AHMADABAD,ahmadabad,2023-2024,Kharif,657.19,122,738.6,-81.41,-11.02
GUJARAT,AHMADABAD,ahmadabad,1997-1998,Rabi,5.66,182,20.63,-14.97,-72.56
GUJARAT,AHMADABAD,ahmadabad,1998-1999,Rabi,68.81,182,20.63,48.18,233.55
GUJARAT,AHMADABAD,ahmadabad,1999-2000,Rabi,67.06,183,20.63,46.43,225.07
GUJARAT,AHMADABAD,ahmadabad,2000-2001,Rabi,1.34,182,20.63,-19.29,-93.48
GUJARAT,AHMADABAD,ahmadabad,2001-2002,Rabi,6.15,182,20.63,-14.48,-70.21
GUJARAT,AHMADABAD,ahmadabad,2002-2003,Rabi,0.67,182,20.63,-19.96,-96.77
GUJARAT,AHMADABAD,ahmadabad,2003-2004,Rabi,0.08,183,20.63,-20.55,-99.61
GUJARAT,AHMADABAD,ahmadabad,2004-2005,Rabi,20.94,182,20.63,0.31,1.52
GUJARAT,AHMADABAD,ahmadabad,2005-2006,Rabi,3.61,182,20.63,-17.02,-82.52
GUJARAT,AHMADABAD,ahmadabad,2006-2007,Rabi,2.41,182,20.63,-18.22,-88.32
GUJARAT,AHMADABAD,ahmadabad,2007-2008,Rabi,0.2,183,20.63,-20.43,-99.04
GUJARAT,AHMADABAD,ahmadabad,2008-2009,Rabi,2.74,182,20.63,-17.89,-86.73
GUJARAT,AHMADABAD,ahmadabad,2009-2010,Rabi,23.3,182,20.63,2.67,12.94
GUJARAT,AHMADABAD,ahmadabad,2010-2011,Rabi,44.81,182,20.63,24.18,117.19
GUJARAT,AHMADABAD,ahmadabad,2011-2012,Rabi,0.0,183,20.63,-20.63,-100.0
GUJARAT,AHMADABAD,ahmadabad,2012-2013,Rabi,2.08,182,20.63,-18.55,-89.9
GUJARAT,AHMADABAD,ahmadabad,2013-2014,Rabi,68.81,182,20.63,48.18,233.53
GUJARAT,AHMADABAD,ahmadabad,2014-2015,Rabi,18.24,182,20.63,-2.39,-11.57
GUJARAT,AHMADABAD,ahmadabad,2015-2016,Rabi,0.97,183,20.63,-19.66,-95.3
GUJARAT,AHMADABAD,ahmadabad,2016-2017,Rabi,67.54,182,20.63,46.91,227.38
GUJARAT,AHMADABAD,ahmadabad,2017-2018,Rabi,3.86,182,20.63,-16.77,-81.29
GUJARAT,AHMADABAD,ahmadabad,2018-2019,Rabi,0.17,182,20.63,-20.46,-99.17
GUJARAT,AHMADABAD,ahmadabad,2019-2020,Rabi,65.68,183,20.63,45.05,218.37
GUJARAT,AHMADABAD,ahmadabad,2020-2021,Rabi,20.65,182,20.63,0.02,0.09
GUJARAT,AHMADABAD,ahmadabad,2021-2022,Rabi,14.53,182,20.63,-6.1,-29.58
GUJARAT,AHMADABAD,ahmadabad,2022-2023,Rabi,26.08,182,20.63,5.45,26.42
MAHARASHTRA,AHMEDNAGAR,ahmednagar,1997-1998,Annual,547.13,365,700.69,-153.56,-21.92
MAHARASHTRA,AHMEDNAGAR,ahmednagar,1998-1999,Annual,837.74,365,700.69,137.05,19.56
MAHARASHTRA,AHMEDNAGAR,ahmednagar,1999-2000,Annual,970.84,365,700.69,270.15,38.56
MAHARASHTRA,AHMEDNAGAR,ahmednagar,2000-2001,Annual,582.99,366,700.69,-117.7,-16.8
MAHARASHTRA,AHMEDNAGAR,ahmednagar,2001-2002,Annual,564.26,365,700.69,-136.43,-19.47
MAHARASHTRA,AHMEDNAGAR,ahmednagar,2002-2003,Annual,477.92,365,700.69,-222.78,-31.79
MAHARASHTRA,AHMEDNAGAR,ahmednagar,2003-2004,Annual,384.73,365,700.69,-315.96,-45.09
MAHARASHTRA,AHMEDNAGAR,ahmednagar,2004-2005,Annual,729.48,366,700.69,28.78,4.11
MAHARASHTRA,AHMEDNAGAR,ahmednagar,2005-2006,Annual,1211.54,365,700.69,510.85,72.91
MAHARASHTRA,AHMEDNAGAR,ahmednagar,2006-2007,Annual,797.13,365,700.69,96.44,13.76
MAHARASHTRA,AHMEDNAGAR,ahmednagar,2007-2008,Annual,616.02,365,700.69,-84.67,-12.08
